                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.23932,                0.18616,                0.87006,                0.98713,                0.99786,                  0.995,                 0.9595,                0.26168,                0.19339,                0.83386,             0.00012374,             0.00012374,             0.00012374
                     68,                 0.2453,                0.19916,                0.87858,                 0.9853,                0.99907,                 0.9948,                0.96689,                0.25732,                0.19367,                0.82882,              0.0001202,              0.0001202,              0.0001202
                     69,                0.24351,                0.18482,                0.87941,                0.98772,                0.99842,                0.99497,                0.97131,                0.24818,                0.19082,                0.82412,             0.00011667,             0.00011667,             0.00011667
                     70,                0.24462,                0.18463,                0.88589,                0.98751,                0.99893,                  0.995,                0.96664,                0.25282,                 0.1889,                0.82699,             0.00011313,             0.00011313,             0.00011313
                     71,                0.23889,                0.18195,                0.88093,                0.98731,                0.99936,                  0.995,                0.97048,                0.24521,                0.18636,                0.82382,              0.0001096,              0.0001096,              0.0001096
                     72,                0.23321,                0.18093,                0.87127,                0.98682,                 0.9989,                0.99498,                0.96787,                0.24351,                 0.1856,                0.82269,             0.00010606,             0.00010606,             0.00010606
                     73,                0.23804,                0.18541,                0.88018,                0.99054,                0.99861,                0.99489,                0.96985,                0.24404,                0.18573,                0.82366,             0.00010253,             0.00010253,             0.00010253
                     74,                0.23768,                0.18323,                0.89176,                0.99023,                0.99902,                0.99494,                0.96938,                0.24642,                0.18646,                0.82404,             9.8996e-05,             9.8996e-05,             9.8996e-05
                     75,                0.22481,                0.17595,                0.87758,                0.99081,                0.99915,                0.99496,                0.96831,                0.24587,                0.18601,                0.82288,             9.5462e-05,             9.5462e-05,             9.5462e-05
                     76,                 0.2251,                0.17714,                0.88211,                0.98823,                0.99905,                0.99498,                0.97333,                0.24261,                0.18372,                 0.8231,             9.1927e-05,             9.1927e-05,             9.1927e-05
                     77,                0.22822,                0.17674,                0.87174,                0.98558,                0.99953,                  0.995,                0.97364,                0.23978,                0.18275,                0.82102,             8.8393e-05,             8.8393e-05,             8.8393e-05
                     78,                0.23611,                0.18313,                0.88167,                0.98734,                0.99953,                0.99498,                0.97197,                0.23764,                0.18482,                0.82078,             8.4859e-05,             8.4859e-05,             8.4859e-05
                     79,                0.22816,                0.17562,                0.87706,                0.98871,                0.99953,                0.99495,                0.97294,                0.23486,                0.18466,                0.82042,             8.1325e-05,             8.1325e-05,             8.1325e-05
                     80,                0.22769,                0.17684,                0.87786,                 0.9875,                0.99946,                0.99498,                0.97548,                0.23308,                0.18164,                 0.8183,              7.779e-05,              7.779e-05,              7.779e-05
                     81,                0.23027,                0.17802,                0.87141,                0.98766,                 0.9993,                  0.995,                0.97292,                0.23076,                0.17913,                0.81591,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     82,                0.22527,                0.17675,                0.86839,                  0.988,                0.99928,                  0.995,                0.97563,                0.22873,                0.17935,                0.81544,             7.0722e-05,             7.0722e-05,             7.0722e-05
                     83,                0.22016,                 0.1731,                0.87571,                0.98795,                0.99849,                  0.995,                0.97345,                 0.2265,                0.17738,                0.81305,             6.7187e-05,             6.7187e-05,             6.7187e-05
                     84,                0.22844,                0.17949,                0.88496,                0.98824,                0.99898,                  0.995,                0.97386,                0.22694,                0.17781,                0.81297,             6.3653e-05,             6.3653e-05,             6.3653e-05
                     85,                0.22339,                0.17206,                0.87269,                 0.9893,                0.99927,                  0.995,                0.97439,                 0.2223,                0.17347,                0.81059,             6.0119e-05,             6.0119e-05,             6.0119e-05
                     86,                0.22217,                0.17794,                0.87002,                0.98852,                0.99929,                  0.995,                0.97784,                0.22476,                0.17609,                0.81082,             5.6585e-05,             5.6585e-05,             5.6585e-05
